tweet_id,text,retweets
1259241405274341383,Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt. https://t.co/IduvGhiPwj,20424
1262548526094929928,THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING.,20396
1258181889933836289,"This just happened on live tv. Wow, what a douche bag. https://t.co/dQKheEcCvb",20381
1258915858556035074,Mask on,20170
1266346957611708417,He came full equipped with receipts https://t.co/KJp7SjTPbl,20130
1266454670785908737,"Attending protests is not for everyone and that's ok. Whether you are continuing to quarantine in mid-pandemic or you simply do not feel comfortable/safe, here are 3 ways you can still show your support from home that takes less than 30 min:",20000
1262210015705866244,When I watch season 2 of a show trying to remember what happens in season 1 that  I watched 2 years ago in one day https://t.co/IjPsravLT5,19986
1266562665087893504,The government trying to flatten the curve https://t.co/PbqP72Z4RL,19932
1265472072316342272,"if we only keep one thing from this pandemic, i hope it’s priests with water pistols https://t.co/2LNCjqEFtc",19889
1265806237834321921,"SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https://t.co/9pE10JW2uk",19872
1265787518974377991,"quarantine will someday end, but I hope this continues https://t.co/aCTzXZqzIV",19781
1257816842300768256,"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”",19554
1266343312304324608,I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..,19527
1258599146522464256,Because if its Baghdad its okay for this to happen...? https://t.co/UdFy61zoT5,19457
1265624335898869760,"Y'all, the mask goes OVER your nose.",19351
1260696026970816512,"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to @ColorWare for making this possible! https://t.co/DorttSrQvR",19311
